,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
331,"Georgetown, SC",0,0,4300,832,1289,241,45508,1919,3965,13212,7679,28236,10882,29173,"48,486","24,460","24,026","7,984","40,502","39,326","13,830","42,047",339,817,928,"24,570","39,185","19,650","19,535"
332,"Gettysburg, PA",0,0,9699,855,3986,746,71478,2825,5301,28949,9156,60708,15469,39267,"62,150","29,417","32,733","11,285","50,865","49,281","17,268","40,315","19,105",80,291,"35,655","49,943","23,061","26,882"
333,"Gillette, WY",0,0,4076,792,1826,103,30455,673,1672,10364,4506,26952,5683,49059,"102,627","50,472","52,155","20,663","81,964","77,443","20,884","95,238","1,633",154,724,"42,525","79,853","38,762","41,091"
334,"Glasgow, KY",0,0,4260,859,2224,109,36668,3394,3305,14935,3494,28439,5476,29214,"61,402","31,593","29,809","16,031","45,371","43,198","7,607","57,266",409,663,199,"27,572","44,509","22,997","21,512"
335,"Glens Falls, NY",0,0,9813,1654,3452,925,92629,3118,6390,32323,12941,79957,22704,36358,"54,088","26,057","28,031","12,800","41,288","39,670","9,557","50,191","1,743",67,183,"24,560","40,725","19,473","21,252"
336,"Glenwood Springs, CO",0,0,6101,1478,2057,626,52444,2486,2755,13101,14121,44320,19735,40830,"125,491","63,256","62,235","23,175","102,316","99,002","26,224","118,068","2,524",284,909,"69,681","100,872","50,326","50,546"
337,"Gloversville, NY",0,0,4166,694,1472,282,38600,1192,3680,13795,3660,32283,6559,34735,"77,585","39,949","37,636","18,019","59,566","56,827","11,119","66,750",397,308,902,"37,844","52,777","27,213","25,564"
338,"Goldsboro, NC",0,0,12288,1965,3872,583,82105,5601,7450,25056,11380,45270,12075,30997,"53,452","26,662","26,790","10,797","42,655","41,028","10,432","49,696",993,202,399,"29,148","42,474","21,078","21,396"
339,"Grand Forks, ND-MN",0,0,17518,817,4079,1814,62366,1514,2329,16403,12902,53559,17970,40003,"60,025","29,238","30,787","12,614","47,411","45,642","14,963","56,560",597,460,355,"26,651","46,583","22,513","24,070"
340,"Grand Island, NE",0,0,6974,1152,2754,584,55542,3169,3842,17598,8459,45727,11088,35193,"101,627","52,442","49,185","22,347","79,280","72,371","14,695","88,003","3,416","2,300","2,304","48,287","76,603","39,108","37,495"
341,"Grand Junction, CO",1,0,14323,2073,4083,977,102669,2977,7211,28023,18441,88147,27009,35653,"75,592","38,173","37,419","20,152","55,440","52,985","12,157","61,884","1,879",461,801,"31,965","50,231","24,660","25,571"
342,"Grand Rapids, MN",0,0,3106,550,862,206,32554,508,1587,9832,5203,29053,7154,34575,"152,962","75,505","77,457","32,973","119,989","113,323","29,352","140,671","1,146","1,451","1,648","64,244","116,799","57,338","59,461"
343,"Grand Rapids-Wyoming, MI",0,0,111303,13790,32285,12759,683361,23740,38646,186657,146702,554864,202644,37684,"1,069,696","532,155","537,541","255,386","814,310","765,262","153,243","885,821","69,905","3,949","27,888","421,432","779,392","382,664","396,728"
344,"Grants, NM",0,0,2404,589,975,24,18136,896,2258,5763,1552,7876,1692,25606,"87,097","42,515","44,582","16,960","70,137","67,866","22,605","79,524",546,982,718,"39,362","68,589","32,902","35,687"
345,"Grants Pass, OR",0,0,5687,1052,2079,86,63006,1311,4859,19450,6689,53579,10345,27145,"1,069,696","532,155","537,541","255,386","814,310","765,262","153,243","885,821","69,905","3,949","27,888","421,432","779,392","382,664","396,728"
346,"Great Bend, KS",0,0,2308,290,847,85,18049,721,1331,5856,2254,15370,3142,34937,"87,097","42,515","44,582","16,960","70,137","67,866","22,605","79,524",546,982,718,"39,362","68,589","32,902","35,687"
347,"Great Falls, MT",0,0,8118,921,3170,615,55249,1311,3263,17475,9725,46588,13354,34320,"26,209","12,724","13,485","6,220","19,989","18,947","5,114","23,810",293,281,83,"12,728","19,071","9,266","9,805"
348,"Greeley, CO",0,0,27768,3138,10479,1485,188765,9725,12792,51960,34739,154382,47186,41674,"81,576","41,253","40,323","18,359","63,217","60,378","15,185","71,145","1,198","3,406",684,"39,012","62,729","31,481","31,248"
349,"Green Bay, WI",0,0,28099,3878,9061,3270,214895,6726,10874,70088,41026,182215,54635,40046,"315,389","159,176","156,213","82,234","233,155","218,918","38,325","275,183","3,880","1,767","5,303","106,044","216,719","108,528","108,191"
350,"Greeneville, TN",0,0,5849,643,2791,252,49378,3457,4660,20945,4816,39858,7426,30127,"320,827","159,901","160,926","74,319","246,508","234,396","50,877","275,923","7,028","6,922","8,524","144,200","237,995","117,483","120,512"
351,"Greenfield Town, MA",0,0,5165,733,1661,683,53210,1084,2586,14911,10480,47302,18643,39283,"69,077","33,836","35,241","13,399","55,678","52,969","15,124","65,131","1,735",106,293,"32,655","55,136","26,610","28,526"
352,"Greensboro, NC",0,0,75410,10182,20699,6224,512752,23883,43778,138948,97157,308557,110195,34462,"69,077","33,836","35,241","13,399","55,678","52,969","15,124","65,131","1,735",106,293,"32,655","55,136","26,610","28,526"
353,"Greensburg, IN",0,0,2243,415,839,253,17800,485,1127,7798,2326,15631,3254,38113,"767,467","367,005","400,462","169,494","597,973","560,462","124,885","476,834","207,902","3,472","29,845","336,980","562,674","262,467","300,207"
354,"Greenville, MS",0,0,4429,999,1531,162,30308,2551,3972,9254,3476,7632,2327,28544,"26,587","13,247","13,340","6,379","20,208","19,398","4,452","25,494",39,42,492,"11,436","19,893","9,800","10,093"
355,"Greenville, NC",0,0,31998,1550,6297,3436,106889,3531,7792,25219,21922,59856,25752,35598,"45,072","21,002","24,070","11,601","33,471","31,592","7,376","11,326","32,445",21,306,"21,619","33,332","15,146","18,186"
356,"Greenville, OH",0,0,3975,710,1834,305,35339,837,2457,17172,3405,31348,5045,34729,"179,961","84,646","95,315","38,418","141,543","127,907","23,774","101,118","62,752",635,"3,227","80,255","136,391","62,297","74,094"
357,"Greenville, SC",0,0,89111,11474,25484,9747,594838,28493,54310,164579,106730,414897,147034,35704,"51,387","25,553","25,834","12,185","39,202","37,502","10,013","49,965",373,125,183,"22,975","38,897","19,073","19,824"
358,"Greenwood, MS",0,0,4362,865,1150,423,25319,2205,2953,9021,2620,8553,2298,30474,"908,680","442,059","466,621","203,057","705,623","664,763","150,337","686,812","145,890","2,820","18,229","390,288","675,997","322,098","353,899"
359,"Greenwood, SC",0,0,9425,1665,2510,507,64188,3857,7191,20414,9153,37937,11659,30413,"38,736","18,707","20,029","9,851","28,885","26,905","6,437","12,811","24,988",0,171,"18,284","28,712","13,261","15,451"
360,"Grenada, MS",0,0,1850,514,408,8,14357,945,1928,3963,1784,7110,2095,30315,"70,672","32,904","37,768","15,995","54,677","51,664","13,153","45,079","22,820",31,771,"31,549","53,022","23,760","29,262"
361,"Guayama, PR",0,0,7721,1016,2839,314,53084,8219,4884,19563,7648,24129,5668,18194,"20,927","10,235","10,692","4,998","15,929","15,316","3,697","11,328","9,180",73,57,"10,243","15,794","7,315","8,479"
362,"Gulfport-Biloxi-Pascagoula, MS",0,0,35672,4881,12492,1798,262858,10762,21624,78581,36254,175607,46542,33493,"414,662","203,806","210,856","96,191","318,471","302,691","66,471","293,918","88,660","1,906","9,121","189,521","313,136","151,536","161,600"
363,"Guymon, OK",0,0,2406,454,870,78,12806,2085,1343,3338,2109,6993,2037,33063,"414,662","203,806","210,856","96,191","318,471","302,691","66,471","293,918","88,660","1,906","9,121","189,521","313,136","151,536","161,600"
364,"Hagerstown-Martinsburg, MD-WV",0,0,21013,3596,7726,1922,182194,5846,16548,67125,24408,140839,34682,40333,"20,633","10,974","9,659","6,022","14,611","13,430","2,293","12,090",873,136,729,"8,274","10,615","5,506","5,109"
365,"Hailey, ID",0,0,2038,150,978,125,19282,1322,1176,4759,4214,16115,6042,34222,"285,990","143,476","142,514","63,423","222,567","213,419","47,404","240,420","25,805",444,"3,905","121,091","217,340","108,659","108,681"
366,"Hammond, LA",0,0,13983,2187,4430,738,84349,3532,10540,31892,11642,52025,13723,35547,"23,798","12,069","11,729","5,152","18,646","17,761","4,411","21,557",141,212,117,"16,375","16,684","8,268","8,416"
367,"Hanford-Corcoran, CA",0,0,16819,2998,6448,774,92321,11849,12421,23540,8784,47497,9289,33242,"133,753","64,718","69,035","32,779","100,974","94,064","19,399","88,225","40,007",302,873,"56,449","99,089","47,067","52,022"
368,"Hannibal, MO",0,0,3301,408,1200,258,26530,1003,2054,10912,3255,22207,4809,32219,"151,090","83,210","67,880","40,923","110,167","103,546","15,564","95,764","9,820","2,232","5,626","46,267","93,221","52,653","40,568"
369,"Harrisburg-Carlisle, PA",0,0,50546,7014,15574,6047,395438,11510,25299,135922,78223,305688,108765,41427,"38,830","18,966","19,864","8,943","29,887","28,335","7,221","35,858","1,425",107,217,"18,265","29,745","14,415","15,330"
370,"Harrison, AR",0,0,3395,421,1287,194,31678,1566,2803,11117,3306,26327,4878,28241,"574,691","282,444","292,247","123,249","451,442","429,753","101,901","452,811","64,743","1,342","25,049","252,832","435,123","210,538","224,585"
371,"Harrisonburg, VA",0,1,25172,1219,6354,1776,81150,6095,7131,25984,13837,62670,21942,35016,"45,278","22,335","22,943","10,054","35,224","33,805","9,913","43,182",83,386,282,"21,731","35,030","17,059","17,971"
372,"Hartford, CT",0,0,124588,12485,31887,17369,837108,32346,44957,224927,183557,612387,269999,50814,"134,696","65,726","68,970","26,747","107,949","94,607","20,225","116,584","6,489",119,"2,429","54,100","100,840","47,788","53,052"
373,"Hastings, NE",0,0,3636,274,776,212,20414,840,1211,5718,3157,17891,4990,35665,"1,205,842","588,448","617,394","242,361","963,481","908,285","209,813","886,243","136,728","3,058","61,785","516,829","902,417","433,803","468,614"
374,"Hattiesburg, MS",0,0,17741,1728,3914,1421,95255,3766,7584,25197,17252,61017,21994,33151,"31,541","15,734","15,807","7,537","24,004","22,054","5,620","28,952",177,81,415,"13,972","22,986","11,399","11,587"
375,"Hays, KS",0,0,5186,290,724,389,17449,418,855,4617,4190,15580,5679,37468,"168,646","80,628","88,018","40,278","128,368","120,634","24,161","113,148","49,547",353,"1,711","72,186","126,312","59,181","67,131"
376,"Heber, UT",0,0,2574,372,947,182,18131,321,574,3706,5110,16680,7249,42118,"28,747","14,191","14,556","6,192","22,555","20,413","4,466","26,701",377,61,482,"13,277","22,131","11,013","11,118"
377,"Helena, MT",1,0,6271,954,1899,468,55546,825,1972,13933,13283,50516,20308,39454,"74,733","38,191","36,542","20,527","54,206","51,469","9,013","68,470",493,292,"1,057","42,115","50,870","25,884","24,986"
378,"Helena-West Helena, AR",0,0,1739,402,440,229,12339,980,1685,3709,1044,4288,976,27211,"80,783","40,154","40,629","17,286","63,497","60,472","15,353","75,368",315,"1,036",451,"36,894","63,026","31,032","31,994"
379,"Henderson, NC",0,0,3946,725,1923,197,29935,1735,4263,11076,2605,11872,2162,27229,"18,151","8,528","9,623","4,656","13,495","12,936","3,409","6,385","11,524",9,0,"10,243","13,493","6,138","7,355"
380,"Hereford, TX",0,0,1863,331,622,19,11100,1809,1185,3797,1008,7337,1218,36128,"44,614","20,783","23,831","10,578","34,036","32,433","8,140","18,644","21,924",499,375,"20,152","32,633","14,698","17,935"
381,"Hermiston-Pendleton, OR",0,0,8015,1860,3009,433,57263,5108,5584,16624,5629,41525,8163,31665,"18,617","9,322","9,295","5,798","12,819","12,020","2,395","15,092",180,90,132,"7,079","10,312","4,851","5,461"
382,"Hickory-Lenoir-Morganton, NC",0,0,30168,5154,10471,2136,257924,15631,29488,82095,31829,188179,44115,31454,"88,744","45,942","42,802","22,707","66,037","62,246","13,746","73,362",794,"2,405",764,"35,421","59,661","31,277","28,384"
383,"Hillsdale, MI",0,0,4422,676,1394,267,31258,1178,2471,12046,3378,27018,5228,34675,"367,982","181,991","185,991","76,117","291,865","278,805","70,366","305,318","24,102","1,989","11,229","165,598","281,444","138,208","143,236"
384,"Hilo, HI",0,0,14749,1434,5402,1028,139689,3048,7504,42529,27344,52751,22215,35558,"45,707","22,799","22,908","9,951","35,756","33,604","8,920","43,944",285,188,168,"22,055","35,552","17,642","17,910"
385,"Hilton Head Island-Bluffton-Beaufort, SC",0,0,19642,3074,8494,1260,149740,4008,8911,37360,32844,107560,50331,32587,"219,290","107,865","111,425","41,315","177,975","169,108","57,423","154,872","44,720",568,"2,450","113,293","168,267","81,546","86,721"
386,"Hinesville, GA",0,0,10645,1221,5028,373,46944,1540,3393,14960,5389,22232,4208,33128,"219,290","107,865","111,425","41,315","177,975","169,108","57,423","154,872","44,720",568,"2,450","113,293","168,267","81,546","86,721"
387,"Hobbs, NM",0,0,7014,1332,2272,141,41947,5351,6014,13575,3353,27317,4817,41101,"81,275","41,007","40,268","22,771","58,504","54,462","7,357","38,868","30,073",358,"1,308","35,606","56,521","29,067","27,454"
388,"Holland, MI",0,0,9039,1345,3617,618,77855,2650,4628,29465,11558,67518,16898,38533,"70,359","36,194","34,165","21,216","49,143","46,044","7,792","56,826","2,585",735,403,"26,871","41,298","21,205","20,093"
389,"Homosassa Springs, FL",0,0,8069,1978,3473,431,113645,3658,9898,43548,12810,94139,18151,28318,"117,104","58,467","58,637","28,307","88,797","85,051","19,327","108,022","1,472",437,835,"51,551","86,658","42,977","43,681"
390,"Hood River, OR",0,0,1875,627,505,64,15550,1927,1019,3296,2747,11530,4547,34960,"147,938","71,999","75,939","21,799","126,139","123,067","53,838","135,714","4,043",412,"2,616","80,222","123,455","59,407","64,048"
391,"Hope, AR",0,0,2487,623,1041,90,20342,1270,2251,7922,1994,11558,2545,27714,"23,270","11,519","11,751","5,517","17,753","16,973","3,535","19,721",133,161,304,"10,034","14,884","7,257","7,627"
392,"Hot Springs, AR",0,0,7265,1215,2757,382,70968,2197,6046,22357,9088,56690,13384,29984,"29,944","14,163","15,781","7,378","22,566","21,385","5,639","17,412","9,403",140,33,"15,165","21,567","10,273","11,294"
393,"Houghton, MI",0,0,7910,503,1829,797,22892,471,1112,7710,4295,20200,6959,32459,"99,043","47,468","51,575","19,893","79,150","75,728","23,496","84,195","8,275",974,810,"50,974","76,598","36,349","40,249"
394,"Houma-Thibodaux, LA",0,0,18776,4139,6879,1110,140118,13052,17831,55152,16014,88082,19051,38162,"37,992","20,510","17,482","7,552","30,440","26,405","6,936","35,440",347,224,"1,054","21,327","29,276","15,813","13,463"
395,"Houston, TX",1,0,627337,106043,198655,58745,4331860,387877,339101,999555,895960,2387746,944068,41623,"209,277","102,751","106,526","50,999","158,278","151,265","31,510","154,400","34,836","8,688","1,618","87,081","154,809","75,009","79,800"
396,"Hudson, NY",0,0,4348,626,1554,602,45606,1547,2845,13918,7327,38260,13583,38562,"6,979,613","3,461,935","3,517,678","1,855,295","5,124,318","4,858,770","776,974","4,195,289","1,200,811","29,444","550,463","2,646,682","4,269,683","2,074,238","2,195,445"
397,"Huntingdon, PA",0,0,4304,451,1862,280,32727,915,2647,16108,3692,26835,5265,32142,"60,016","29,953","30,063","10,370","49,646","48,300","14,357","52,951","2,512",53,"1,071","33,622","47,925","23,453","24,472"
398,"Huntington, IN",0,0,3558,553,1305,312,24902,642,1611,10448,3074,21897,4578,36186,"45,145","24,026","21,119","8,161","36,984","35,099","9,437","41,206","2,503",68,280,"22,727","36,519","19,590","16,929"
399,"Huntington-Ashland, WV-KY-OH",0,0,31995,3757,11517,2980,249708,10840,21036,93569,29747,208541,47610,34694,"36,351","17,974","18,377","7,815","28,536","26,881","6,332","34,704",343,100,238,"16,110","28,229","13,762","14,467"
400,"Huntsville, AL",0,0,41926,5288,12326,4258,308079,10841,20899,70231,73562,206696,91446,41200,"359,481","176,346","183,135","76,467","283,014","269,471","68,958","339,407","7,392",393,"2,215","167,999","281,230","135,590","145,640"
401,"Huntsville, TX",0,0,15388,984,2856,994,56894,3610,5026,21835,7679,37702,9316,34721,"464,607","227,902","236,705","102,127","362,480","344,281","69,990","323,859","103,577","2,971","11,088","200,378","352,185","170,582","181,603"
402,"Huron, SD",0,0,1193,302,523,36,12312,1128,685,4341,1880,9695,2252,33582,"72,295","42,269","30,026","10,680","61,615","54,755","9,315","51,096","16,686",183,923,"26,600","57,421","34,195","23,226"
403,"Hutchinson, KS",0,0,5443,862,1692,237,43231,1683,3564,12061,5890,35844,8511,30957,"20,347","10,311","10,036","5,372","14,975","14,471","3,990","16,478",220,795,"1,027","9,692","13,551","6,890","6,661"
404,"Hutchinson, MN",0,0,2771,310,887,282,24700,635,1097,8997,3173,22299,4349,38766,"62,421","31,355","31,066","14,039","48,382","45,799","12,374","56,223","1,596",628,330,"28,543","47,511","23,742","23,769"
405,"Idaho Falls, ID",1,0,11938,1906,4750,696,85756,2803,4667,22856,16817,73369,23581,34027,"35,788","17,808","17,980","8,227","27,561","26,432","6,678","33,625",229,94,218,"15,923","26,976","13,262","13,714"
406,"Indiana, PA",0,0,14506,1267,3589,968,55673,2071,3683,24334,7388,48304,12139,33267,"148,811","74,813","73,998","46,298","102,513","97,050","19,220","132,844",549,"1,123","1,224","54,612","98,718","49,123","49,595"
407,"Indianapolis, IN",1,0,176182,30659,55637,22315,1330740,43610,97664,372847,291797,969183,383156,40481,"84,463","42,317","42,146","15,199","69,264","62,657","16,296","79,466","1,909",55,784,"38,989","68,218","33,864","34,354"
408,"Indianola, MS",0,0,2827,602,921,112,17620,1535,3238,5191,1773,4005,1161,25129,"2,050,933","1,002,546","1,048,387","505,103","1,545,830","1,472,443","280,522","1,545,250","314,905","3,635","70,087","868,045","1,467,999","702,961","765,038"
409,"Ionia, MI",0,0,5786,1164,2360,469,43360,1185,3095,17184,5004,36393,6740,35579,"25,759","13,581","12,178","5,683","20,076","19,024","3,475","6,297","19,069",60,7,"9,678","20,038","10,774","9,264"
410,"Iowa City, IA",0,0,32726,1796,6755,5473,101291,2982,2454,19873,26452,84194,42791,43074,"25,759","13,581","12,178","5,683","20,076","19,024","3,475","6,297","19,069",60,7,"9,678","20,038","10,774","9,264"
411,"Iron Mountain, MI-WI",0,0,2086,431,594,167,22010,258,948,7610,3748,20287,5419,35134,"172,919","85,737","87,182","35,524","137,395","123,353","21,710","142,484","11,656",316,"9,443","74,678","126,260","61,585","64,675"
412,"Ithaca, NY",0,0,27818,467,3994,4868,59782,977,2470,11592,13620,49193,26806,40882,"29,685","14,884","14,801","5,678","24,007","23,183","6,947","28,456",185,257,155,"18,962","23,888","11,906","11,982"
413,"Jackson, MI",0,0,14388,2021,5137,693,109811,2291,8013,36202,16192,90306,21505,34985,"102,237","50,533","51,704","15,069","87,168","72,305","14,640","81,368","4,185",123,"9,653","44,019","80,103","38,651","41,452"
414,"Jackson, MS",0,0,56566,7875,15518,5860,381724,15215,33421,96101,69603,180919,75086,35886,"158,174","80,754","77,420","34,092","124,082","117,868","27,925","137,233","12,461",524,"1,371","69,719","122,463","62,345","60,118"
415,"Jackson, OH",0,0,2531,431,1415,35,22110,1109,2307,9252,2291,18259,3278,32417,"596,287","285,544","310,743","143,032","453,255","428,529","86,954","276,257","300,440",792,"6,468","252,597","445,950","208,665","237,285"
